연도,계(만톤),공사(비중),직수입사(비중)
1987,8,1,0
1988,18,1,0
1989,35,1,0
1990,58,1,0
1991,88,1,0
1992,126,1,0
1993,185,1,0
1994,245,1,0
1995,342,1,0
1996,458,1,0
1997,577,1,0
1998,623,1,0
1999,789,1,0
2000,953,1,0
2001,1030,1,0
2002,1119,1,0
2003,1198,1,0
2004,1250,1,0
2005,1403,1,0
2006,1396,1,0
2007,1445,1,0
2008,1532,1,0
2009,1563,0.992,0.008
2010,1771,0.989,0.011
2011,1862,0.981,0.019
2012,2011,0.973,0.027
2013,1996,0.982,0.018
2014,1853,0.981,0.019
2015,1726,0.981,0.019
2016,1777,0.978,0.022
2017,1944,0.946,0.054
2018,2138,0.927,0.073
2019,2063,0.913,0.087
2020,2101,0.869,0.131
