site_code,site_name,stn_id,stn_name,dist_km,coord_source
1003G20,충주호,221,제천,17.4,precise
1003G30,충주호,221,제천,17.4,precise
1003G40,충주호,221,제천,17.4,precise
1006G30,횡성호,212,홍천,24.1,precise
1007A20,강천보,203,이천,18.0,precise
1007A27,여주보,203,이천,13.1,precise
1007A60,이포보,202,양평,10.5,precise
1007G20,한강,202,양평,12.6,inherited
1010G50,춘천호,159,부산,12.4,precise
1010G60,춘천호,159,부산,12.4,precise
1011G50,의암호,101,춘천,9.5,precise
1017G20,팔당호,202,양평,18.8,precise
1017G21,팔당호,202,양평,18.8,precise
1017G22,팔당호,202,양평,18.8,precise
1018G01,한강,108,서울,13.3,inherited
1018G02,한강,108,서울,13.3,inherited
1018G03,한강,108,서울,13.3,precise
1018G04,한강,108,서울,13.3,inherited
1018G05,한강,108,서울,13.3,inherited
1018G06,한강,108,서울,13.3,inherited
1018G07,한강,108,서울,13.3,inherited
1018G08,한강,108,서울,13.3,inherited
1018G09,한강,108,서울,13.3,inherited
1018G10,한강,108,서울,13.3,inherited
1101G10,광교지,119,수원,6.6,precise
2001I10,안동댐,136,안동,15.0,precise
2001I30,안동댐,136,안동,15.0,precise
2004I20,영주댐,272,영주,16.3,precise
2004I40,영주댐,272,영주,16.3,precise
2007A25,상주보,137,상주,9.1,precise
2009A05,낙단보,137,상주,14.5,precise
2009A30,구미보,279,구미,12.2,precise
2011A25,칠곡보,279,구미,14.3,precise
2011A26,칠곡보,279,구미,14.3,precise
2011A55,강정고령보,143,대구,18.1,precise
2011A56,강정고령보,279,구미,20.9,inherited
2011G26,낙동강,279,구미,20.9,inherited
2011G56,낙동강,279,구미,20.9,inherited
2012G20,영천호,281,영천,14.6,precise
2012G55,공산지,281,영천,14.8,inherited
2012G56,공산지,281,영천,14.8,inherited
2012I25,보현산댐,281,영천,16.9,precise
2014A25,달성보,143,대구,26.7,precise
2014A70,합천창녕보,285,합천,17.1,precise
2018G20,진양호,192,진주,4.9,precise
2018G30,진양호,192,진주,4.9,precise
2020A32,창녕함안보,255,북창원,20.5,precise
2020A33,창녕함안보,255,북창원,20.5,inherited
2020G33,낙동강,255,북창원,20.5,inherited
2020I37,본포,255,북창원,20.5,inherited
2021G10,운문호,283,경주시,27.6,precise
2021G20,운문호,283,경주시,27.6,precise
2022G05,낙동강,143,대구,7.3,coarse
2022I20,하굿둑,143,대구,7.3,coarse
2022I30,하굿둑,143,대구,7.3,coarse
2101G30,안계호,138,포항,10.4,precise
2101G31,덕동호,138,포항,10.4,inherited
2101G70,진전지,138,포항,10.4,inherited
2101G71,진전지,138,포항,10.4,inherited
2201G30,사연호,152,울산,12.7,precise
2201G40,사연호,152,울산,12.7,precise
2301G10,회야호,152,울산,13.1,precise
2301G20,회야호,152,울산,13.1,precise
3001G10,용담호,248,장수,24.9,precise
3001G11,용담호,248,장수,24.9,precise
3001G20,용담호,248,장수,24.9,precise
3001G40,용담호,248,장수,24.9,precise
3008G30,대청호,226,보은,17.3,precise
3008G40,대청호,226,보은,17.3,precise
3008G50,대청호,226,보은,17.3,precise
3008I10,대청호,226,보은,17.3,precise
3008I20,대청호,226,보은,17.3,precise
3008I60,대청호,226,보은,17.3,precise
3012A07,세종보,239,세종,2.5,precise
3012A32,공주보,239,세종,13.1,precise
3012A42,백제보,236,부여,5.9,precise
3203G20,보령호,235,보령,13.0,precise
4002G10,옥정호,244,임실,17.8,precise
4002G11,섬진강댐,244,임실,17.8,precise
4002G12,섬진강댐,244,임실,17.8,precise
4007G40,주암호,174,순천,17.9,precise
4007G50,동복호,156,광주,20.9,precise
4007G60,동복호,156,광주,20.9,precise
4007G70,주암호,174,순천,17.9,precise
5004A10,승촌보,156,광주,15.5,precise
5004A35,죽산보,165,목포,29.0,precise
5101G35,탐진호,156,광주,13.2,coarse
5101G40,탐진호,156,광주,13.2,coarse
