experiment_name,model_family,primary_target,model_name,capacity_mae,capacity_rmse,capacity_smape,soh_mae,soh_rmse,soh_smape,n,train_end_cycle
post_eol_75_split,baseline,capacity_ah,LinearTrend,0.0308964439280675,0.0360428848807806,6.016708050013615,0.0271874722533575,0.0317161073587822,6.016708050013617,217,657
post_eol_75_split,machine_learning,capacity_ah,RidgeRegression,0.1715194900889069,0.2067903237936726,27.658038670506652,0.1509293881379656,0.1819661254056478,27.658038670506645,217,657
post_eol_75_split,deep_learning,capacity_ah,NHITS,0.1734134191845228,0.2113217583856948,27.905235228183894,0.1525959600210201,0.1859535827494553,27.905235228183894,217,657
post_eol_75_split,deep_learning,capacity_ah,PatchTST,0.2070868715266837,0.2423347350026896,31.990007691940896,0.1822270739886564,0.2132435984946852,31.990007691940896,217,657
post_eol_75_split,baseline,capacity_ah,Persistence,0.2129455296063417,0.2571126860070443,32.59138515455377,0.1873824279301471,0.226247526513967,32.59138515455376,217,657
post_eol_75_split,foundation_model,capacity_ah,TimesFM_2p5_200M,0.2174530396916708,0.2545505872455909,33.17638999478133,0.1913488327909114,0.2239929955669898,33.17638999478133,217,657
post_eol_75_split,foundation_model,capacity_ah,ChronosBolt_Base,0.2330718866794699,0.2711667211342236,34.94597555023529,0.205092743449576,0.2386144695168729,34.94597971895414,217,657
post_eol_75_split,machine_learning,capacity_ah,RandomForestRegressor,0.2361624486017282,0.2766438113380067,35.27035594653911,0.2078122658255727,0.2434340328073339,35.27035594653912,217,657
post_eol_75_split,baseline,capacity_ah,MovingAverage,0.2551149913313134,0.2929928216328989,37.39385155744475,0.2244896456169433,0.2578204218946052,37.39385155744474,217,657
pre_eol_70_split,deep_learning,capacity_ah,NHITS,0.0209316293158111,0.0282940550568336,2.204793424958322,0.0184188864118504,0.0248974878333433,2.204793424958322,163,381
pre_eol_70_split,deep_learning,capacity_ah,PatchTST,0.0210946692405989,0.0301025713670486,2.2239756714608165,0.0185623541663168,0.0264889003311113,2.2239756714608165,163,381
pre_eol_70_split,foundation_model,capacity_ah,ChronosBolt_Base,0.0237616861459308,0.0320683751510739,2.4989185784378387,0.0209092106382456,0.028218734205643,2.498918855882833,163,381
pre_eol_70_split,baseline,capacity_ah,MovingAverage,0.0283659688407967,0.0400932376866305,2.9701395987275303,0.0249607687083425,0.0352802345049914,2.970139598727534,163,381
pre_eol_70_split,machine_learning,capacity_ah,RidgeRegression,0.0285974724349932,0.0334486068195824,3.0227257360120476,0.0251644813931557,0.0294332600844961,3.0227257360120476,163,381
pre_eol_70_split,baseline,capacity_ah,Persistence,0.0286587775740007,0.0404548736224867,2.9998837331873283,0.0252184271407517,0.0355984577605478,2.9998837331873274,163,381
pre_eol_70_split,foundation_model,capacity_ah,TimesFM_2p5_200M,0.0294073009414311,0.0411702551061586,3.075938527703524,0.025877093825189,0.0362279610873117,3.0759385277035247,163,381
pre_eol_70_split,machine_learning,capacity_ah,RandomForestRegressor,0.0294673389986999,0.0413681448747596,3.081938924618906,0.0259299245982042,0.0364020951269957,3.0819389246189064,163,381
pre_eol_70_split,baseline,capacity_ah,LinearTrend,0.0505281036465211,0.0654541520057553,5.183007501069424,0.0444624442574318,0.0575966912459762,5.183007501069424,163,381
