시도지역,고압가스특정제조,고압가스일반제조,고압가스냉동제조,고압가스충전,고압가스저장,고압가스특수독성제조,고압가스특수독성저장,고압가스일반판매,고압가스일반LPG판매,고압가스용기및용기부속품,고압가스냉동기및특정설비제조,고압가스사용시설,LPG충전,LPG저장,LPG집단공급사업자,LPG집단공급업소,LPG판매,LPG가스용품제조,LPG사용시설(정기검사),LPG사용시설(면제대상),도시가스사업자,도시가스대행,도시가스사용시설,가스시공업소
서울,0,5,1577,82,177,0,8,36,0,0,8,199,74,0,22,0,69,8,5519,30957,5,81,23106,4162
부산,2,45,581,182,215,0,3,59,24,22,150,209,63,6,5,10,207,25,5118,39726,1,24,6662,995
대구,0,63,974,296,441,0,50,15,193,6,30,252,164,16,31,102,296,35,11483,95780,2,27,5559,1093
인천,15,50,826,157,260,0,13,45,11,5,45,266,66,8,0,66,44,37,6624,30696,1,4,6847,747
광주,3,59,402,93,163,0,8,2,41,1,23,193,97,11,43,42,88,7,4755,43380,1,3,4293,496
대전,0,88,719,175,202,0,30,23,77,1,41,225,111,32,14,96,133,19,7065,58569,1,11,4577,799
울산,254,121,934,131,288,10,17,23,27,2,75,216,35,18,7,12,45,0,2017,17057,1,3,2612,371
경기,0,425,4674,921,1549,0,102,236,314,22,366,1034,421,74,72,273,367,202,42687,194924,1,65,29717,4607
강원,0,16,339,219,103,0,8,27,83,0,18,111,128,49,29,401,159,5,13669,88086,4,2,1775,838
충북,1,118,1383,231,392,1,44,53,125,9,23,207,120,37,50,115,134,10,14155,78537,2,5,2764,638
충남,162,130,889,248,594,2,51,30,116,6,81,240,106,43,41,72,75,15,10735,59368,2,4,3424,651
전북,14,60,873,134,287,0,16,30,48,7,29,334,138,42,42,140,260,9,8771,58090,3,17,3373,665
전남,289,28,563,151,360,0,13,11,33,0,52,614,103,29,20,127,243,0,8278,64722,3,6,2292,615
경북,40,50,319,195,296,0,11,27,130,2,11,166,118,40,26,193,258,2,8597,82262,3,5,2078,812
경남,4,106,886,461,754,0,20,66,260,5,123,398,189,72,64,215,393,28,16150,117517,2,15,5581,1223
제주,0,3,152,89,21,0,0,6,13,0,0,91,38,64,26,227,139,2,7716,51167,1,0,115,522
세종,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
